breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Birthday,-1,0.9955663793210288,0.0333333333333333,Trend,Shape,0.0331855459773676,Count of persons,20,1455,"[-0.14793593196809313, -0.07744142368377295]","[-0.006675032877227058, -0.012951251615114805]","[-0.07394687510397213, -0.011096402964412886]","[0.31085678935050964, -3.418398380279541]",0.31085678935050964,-3.418398380279541,"[-0.17428284220225002, -1.0651235137129877]","[-0.003947364982013819, 0.01479466633025512]","[-0.9778272605306777, -0.7437039221992068]","[0.5531618595123291, -1.3621894121170044]"
Birthday,-1,0.8373375230537792,0.1,Trend,Shape,0.0837337523053779,Count of persons,21,579,"[-0.06068067994494028, -0.03816410367508415]","[-0.00042552065218491467, -0.008404422346906118]","[-0.0882824778681943, -0.013964137679211227]","[7.016025066375732, -0.7929576635360718]",7.016025066375732,-0.7929576635360718,"[2.0460487499300366, 0.2522388649302312]","[-0.0034607200587637066, 0.004129530640606839]","[-0.29188519708069965, -1.3898859616185828]","[3.4486570358276367, -4.97935676574707]"
Birthday,1984,0.9577878421460112,0.1,Outlier,Shape,0.0957787842146011,Count of persons,126,579,"[-0.06073196950883099, -0.038068739908402614]","[-0.000425520652184898, -0.008404422346906141]","[-0.0882824778681943, -0.0139641376792112]","[7.015981674194336, -0.7929889559745789]",7.015981674194336,-0.7929889559745789,"[-1.9673953131486352, 0.1306762787314105]","[-0.0034607200587637287, 0.004129530640606816]","[-0.29188519708069954, -1.3898859616185828]","[3.448641538619995, -4.979330539703369]"
Birthday,-1,0.6984873147800821,0.0555555555555555,Trend,Shape,0.0388048508211156,Count of persons,22,476,"[-0.11866455881192023, -0.1404665311457421]","[0.013566367592007219, -0.0072554266412233935]","[-0.11975091336001056, -0.03356785877029847]","[6.2544779777526855, 2.7667133808135986]",6.2544779777526855,2.766713380813598,"[-0.4980997776178495, 0.35610484688823724]","[0.015272151934051665, -0.004719689311768049]","[-0.5807873233742723, -0.7025732030521374]","[4.037387847900391, 13.243921279907227]"
Age Group,Young;*,1.0,0.0555555555555555,Correlation,Compound Shape,0.0555555555555555,Count of persons,246,476,"[-0.1186645588119203, -0.14046653114574212]","[0.013566367592007241, -0.007255426641223388]","[-0.11975091336001051, -0.033567858770298414]","[6.255314826965332, 2.7669804096221924]",6.255314826965332,2.7669804096221924,"[-0.4980997776178495, 0.35610484688823724]","[0.015272151934051677, -0.004719689311768027]","[-0.5807873233742723, -0.7025732030521371]","[4.037975311279297, 13.244280815124512]"
Birthday,-1,0.1073112896921394,0.3333333333333333,Trend,Shape,0.0357704298973798,Count of persons,23,852,"[-0.07620245091215451, 0.3688015458435442]","[-0.012456154963537379, 0.02981905399912107]","[0.02150922575723231, 0.002004450684707001]","[13.96438980102539, -11.657462120056152]",13.96438980102539,-11.657462120056152,"[5.225196580415637, 0.11824507089288946]","[-0.027085350335312307, -0.02972232927009218]","[-0.057192140338855835, -0.11222460346118827]","[-4.6302008628845215, -12.620064735412598]"
Marital Status,Married(a),0.9999999999553756,0.3333333333333333,Top1,Point,0.3333333333184585,Count of persons,75,852,"[-0.0762316247225199, 0.36880075872075235]","[-0.012456154963537374, 0.02981905399912107]","[0.021509225757232294, 0.002004450684707001]","[14.114350318908691, -10.855881690979004]",14.114350318908693,-10.855881690979004,"[5.225196894188812, 0.11823976347428257]","[-0.027085350335312296, -0.029722329270092163]","[-0.05719214033885647, -0.11222460346118898]","[-4.929703235626221, -13.653007507324219]"
Birthday,1953,0.9989408167047248,0.3333333333333333,Top1,Point,0.3329802722349082,Count of persons,96,852,"[-0.07623156941503977, 0.3688007602155197]","[-0.012456154963537377, 0.029819053999121076]","[0.0215092257572323, 0.0020044506847070116]","[13.875266075134277, -11.224509239196777]",13.875266075134276,-11.224509239196776,"[5.22515812923203, 0.11889476865519344]","[-0.02708535033531231, -0.029722329270092197]","[-0.05719214033885622, -0.11222460346118866]","[-4.280085563659668, -13.262375831604004]"
Birthday,1934,1.0,0.3333333333333333,Change Point,Shape,0.3333333333333333,Count of persons,100,852,"[-0.07623156572141261, 0.36880076031534514]","[-0.015404624776379595, 0.029728245560394332]","[0.021509225757232325, 0.002004450684707019]","[14.77614974975586, -11.781999588012695]",14.77614974975586,-11.781999588012695,"[5.225158129231824, 0.11889476865890278]","[-0.027085350335312324, -0.029722329270092173]","[-0.05719214033885672, -0.11222460346118948]","[-4.534968376159668, -13.57532024383545]"
Birthday,1953,0.999148815757294,0.3333333333333333,Outlier,Shape,0.3330496052524313,Count of persons,133,852,"[-0.07623156672281468, 0.3688007602882803]","[-0.015404624776379633, 0.02972824556039437]","[0.021509225757232305, 0.0020044506847070155]","[15.01170539855957, -11.41232967376709]",15.01170539855957,-11.41232967376709,"[5.225158528681597, 0.11888802637490571]","[-0.02708535033531229, -0.029722329270092163]","[-0.05719214033885639, -0.11222460346118887]","[-4.293697357177734, -12.866598129272461]"
