breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Year,2006,SO2 kt,1.0,0.054524249000000004,Change Point,Shape,0.054524249000000004,444,16211,"[0.14102729181669635, -0.003426915575039219]","[0.005415763908574384, 0.006005467042632826]","[0.0056702478519806, 0.0009586541506336591]","[6.841090679168701, -0.6215110421180725]",6.841090679168701,-0.6215110421180725,"[49.47722882051947, -17.163248961085742]","[0.005786439317735108, 0.005774391711029246]","[-0.1844543502731306, -0.00520146858604409]","[-2.2217657566070557, 3.593778610229492]"
Year,2008,SO2 kt,0.999359001,0.054524249000000004,Outlier,Shape,0.054489299000000005,473,16211,"[0.14102727369957835, -0.003426939492712208]","[0.005415763908574392, 0.0060054670426328265]","[0.005670247851980606, 0.0009586541506336617]","[6.84108829498291, -0.621905505657196]",6.84108829498291,-0.621905505657196,"[49.477228820523315, -17.1632489610883]","[0.0057864393177351125, 0.005774391711029242]","[-0.18445435027313054, -0.00520146858604322]","[-2.2217657566070557, 3.593778610229492]"
State,-1,CO2 (kt);SO2 kt,1.0,0.054524249000000004,Clustering,Compound Shape,0.05215363,647,16211,"[0.14102733200723896, -0.0034268625168107567]","[0.0054157639085743855, 0.006005467042632797]","[0.005670247851980602, 0.0009586541506336571]","[6.840921401977539, -0.6216258406639099]",6.840921401977539,-0.6216258406639099,"[49.47722882052061, -17.16324896108646]","[0.00578643931773511, 0.005774391711029245]","[-0.18445435027313062, -0.005201468586043655]","[-2.2217657566070557, 3.593778610229492]"
State,-1,CO2 (kt);SO2 kt,0.935644953,0.054524249000000004,Cross Measure Correlation,Compound,0.05101533900000001,664,16211,"[0.1410272974005009, -0.003426908203475549]","[0.005415763908574388, 0.006005467042632813]","[0.005670247851980595, 0.000958654150633655]","[6.841047286987305, -0.6213768124580383]",6.841047286987305,-0.6213768124580383,"[49.477228898723254, -17.16324901425783]","[0.005786439317735113, 0.005774391711029247]","[-0.18445435027313084, -0.005201468586043655]","[-2.2217657566070557, 3.593778610229492]"
Producer Type,Electric Utility,CO2 (kt),1.0,0.162406453,Top1,Point,0.162406453,85,8589,"[0.030202216437640744, -0.005101004322989367]","[0.005415763908574362, 0.0059303833240000655]","[0.0056702478519806004, 0.0009586541506336572]","[-12.310293197631836, 15.872079849243164]",-12.310293197631836,15.872079849243164,"[61.151800051208156, 13.02153121716629]","[0.005786439317735108, -0.0019317103256190093]","[-0.18445435027313073, -0.005201468586042785]","[-1.5811851024627686, -4.1610517501831055]"
Year,2010,CO2 (kt),1.0,0.162406453,Change Point,Shape,0.162406453,132,8589,"[0.12783420377795793, 0.11489435464281156]","[0.005415763908574371, 0.005930383324000066]","[0.005670247851980603, 0.0009586541506336569]","[-11.977655410766602, 15.757491111755371]",-11.977655410766602,15.757491111755373,"[61.151800045679444, 13.02153121911384]","[0.005786439317735117, -0.0019317103256190214]","[-0.1844543502731308, -0.005201468586043655]","[-1.778456449508667, -4.578851699829102]"
Year,2007,CO2 (kt),0.90424358,0.162406453,Outlier,Shape,0.14685499300000002,182,8589,"[0.127834203778016, 0.11489435464283687]","[0.00541576390857436, 0.005930383324000072]","[0.005670247851980592, 0.0009586541506336559]","[-12.258406639099121, 15.970653533935547]",-12.25840663909912,15.970653533935547,"[-53.996883531974255, -59.31270102498748]","[0.005786439317735108, -0.001931710325619018]","[-0.1844543502731309, -0.00520146858604322]","[-1.9158214330673218, -4.261538505554199]"
Producer Type,Electric Utility,CO2 (kt),0.854945864,0.162406453,Attribution,Point,0.138848726,247,8589,"[0.030089321929276356, -0.005518967449679494]","[0.005415763908574365, 0.005930383324000066]","[0.005670247851980602, 0.0009586541506336568]","[-12.068032264709473, 16.01422691345215]",-12.068032264709473,16.014226913452152,"[61.15180005124732, 13.021531217152283]","[0.005786439317735114, -0.0019317103256190208]","[-0.18445435027313065, -0.005201468586043655]","[-1.6513251066207886, -4.130758285522461]"
Year,-1,SO2 kt,0.9503161290000001,0.162406453,Trend,Shape,0.154337472,333,8589,"[0.1278342037774276, 0.11489435464258249]","[0.00541576390857437, 0.00593038332400007]","[0.005670247851980603, 0.0009586541506336574]","[-12.036203384399414, 15.69230842590332]",-12.036203384399414,15.69230842590332,"[61.15180004477272, 13.021531219433156]","[0.005786439317735116, -0.001931710325619026]","[-0.18445435027313073, -0.00520146858604322]","[-1.8962018489837646, -4.488894462585449]"
State,OH,SO2 kt,0.998238097,0.162406453,Top1,Point,0.162120309,374,8589,"[0.12783420377784274, 0.11489435464276199]","[0.0054157639085743664, 0.0059303833240000724]","[0.0056702478519806004, 0.0009586541506336559]","[-11.960515975952148, 15.900952339172363]",-11.960515975952148,15.900952339172365,"[-53.996883531974284, -59.312701024987525]","[0.005786439317735111, -0.0019317103256190197]","[-0.18445435027313067, -0.005201468586043655]","[-1.8973212242126465, -4.487133979797363]"
