sid,cid
874,78
888,78
957,78
972,78
1042,78
1063,78
1143,78
1193,78
1278,78
1295,78
1366,78
1390,78
1463,78
1500,78
1580,78
1670,78
1760,78
0,79
72,79
86,79
157,79
168,79
258,79
308,79
393,79
405,79
481,79
504,79
578,79
595,79
695,79
785,79
875,79
888,79
958,79
972,79
1043,79
1064,79
1144,79
1194,79
1279,79
1295,79
1367,79
1390,79
1464,79
1501,79
1581,79
1671,79
1761,79
0,80
73,80
87,80
158,80
164,80
259,80
309,80
394,80
404,80
482,80
505,80
579,80
586,80
696,80
786,80
876,80
888,80
959,80
973,80
1044,80
1060,80
1145,80
1195,80
1280,80
1294,80
1368,80
1391,80
1465,80
1492,80
1582,80
1672,80
1762,80
0,81
73,81
87,81
158,81
165,81
260,81
310,81
395,81
404,81
482,81
505,81
579,81
587,81
697,81
787,81
877,81
888,81
959,81
973,81
1044,81
1061,81
1146,81
1196,81
1281,81
1294,81
1368,81
1391,81
1465,81
1493,81
1583,81
1673,81
1763,81
0,82
74,82
87,82
159,82
166,82
261,82
311,82
396,82
404,82
483,82
505,82
580,82
588,82
698,82
788,82
878,82
888,82
960,82
973,82
1045,82
1062,82
1147,82
1197,82
1282,82
1294,82
1369,82
1391,82
1466,82
1494,82
1584,82
1674,82
1764,82
0,83
75,83
87,83
160,83
167,83
262,83
312,83
397,83
404,83
484,83
505,83
581,83
589,83
699,83
789,83
879,83
888,83
961,83
973,83
1046,83
1063,83
1148,83
1198,83
1283,83
1294,83
1370,83
1391,83
1467,83
1495,83
1585,83
1675,83
1765,83
0,84
76,84
87,84
161,84
168,84
263,84
313,84
398,84
404,84
485,84
505,84
582,84
590,84
700,84
790,84
880,84
888,84
962,84
973,84
1047,84
1064,84
1149,84
1199,84
1284,84
1294,84
1371,84
1391,84
1468,84
1496,84
1586,84
1676,84
1766,84
0,85
76,85
87,85
161,85
164,85
264,85
309,85
399,85
405,85
486,85
506,85
583,85
591,85
701,85
791,85
881,85
888,85
962,85
973,85
1047,85
1060,85
1150,85
1195,85
1285,85
1295,85
1372,85
1392,85
1469,85
1497,85
1587,85
1677,85
1767,85
0,86
76,86
87,86
161,86
165,86
265,86
310,86
400,86
405,86
486,86
506,86
583,86
592,86
702,86
792,86
882,86
888,86
962,86
973,86
1047,86
1061,86
1151,86
1196,86
1286,86
1295,86
1372,86
1392,86
1469,86
1498,86
1588,86
1678,86
1768,86
0,87
77,87
87,87
162,87
166,87
266,87
311,87
401,87
405,87
487,87
506,87
584,87
593,87
703,87
793,87
883,87
888,87
963,87
973,87
1048,87
1062,87
1152,87
1197,87
1287,87
1295,87
1373,87
1392,87
1470,87
1499,87
1589,87
1679,87
1769,87
0,88
77,88
87,88
162,88
167,88
267,88
312,88
402,88
405,88
487,88
506,88
584,88
594,88
704,88
794,88
884,88
888,88
963,88
973,88
1048,88
1063,88
1153,88
1198,88
1288,88
1295,88
1373,88
1392,88
1470,88
1500,88
1590,88
1680,88
1770,88
0,89
78,89
87,89
163,89
168,89
268,89
313,89
403,89
405,89
488,89
506,89
585,89
595,89
705,89
795,89
885,89
888,89
964,89
973,89
1049,89
1064,89
1154,89
1199,89
1289,89
1295,89
1374,89
1392,89
1471,89
1501,89
1591,89
1681,89
1771,89
